name,city,district,subdistrict,address,lat,lon,phone,Sunday,Monday,Tuesday,Wednesady,Thursday,Friday,Saturday,notes,owner
שיך ג'ראח,ירושלים,ירושלים,ירושלים,מרכז רפואי,31.774081,35.184997,02-5871923,8:00-17:00,8:00-17:00,8:00-17:00,8:00-17:00,8:00-13:00,סגור,סגור,,עיריית ירושלים
א- טור,ירושלים,ירושלים,ירושלים,סלימאן אל פרסי 13,31.768319,35.21371,02-6261314,8:00-13:00,8:00-17:00,8:00-13:00,8:00-17:00,8:00-13:00,סגור,סגור,שבת 8:00-15:00,עיריית ירושלים
רמות  02,ירושלים,ירושלים,ירושלים,ראובן מס 131/25,31.810772,35.197572,02-5484222,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,עיריית ירושלים
הר  נוף,ירושלים,ירושלים,ירושלים,אגסי 10,31.7856626,35.1751586,02-5456253,8:00-13:00,8:00-17:00,8:00-13:00,8:00-17:00,8:00-13:00,סגור,סגור,,עיריית ירושלים
הר חומה,ירושלים,ירושלים,ירושלים,שאול אביגדור 7,31.7237274,35.2195731,02-6724714,8:00-17:00,8:00-13:00,8:00-13:00,8:00-17:00,8:00-13:00,סגור,סגור,,עיריית ירושלים
סילואן,ירושלים,ירושלים,ירושלים,שכונת אל עבסיה,31.768319,35.21371,02-5612761,8:00-13:00,8:00-17:00,8:00-17:00,8:00-17:00,8:00-13:00,סגור,סגור,,עיריית ירושלים
ירכא א + ב,ירכא,צפון,עכו,ירכא,32.953664,35.213864,04-9968532,8:00-16:00,8:00-18:00,8:00-16:00,8:00-18:00,8:00-16:00,8:00-16:00,סגור,,משרד הבריאות
יתיר,יתיר,דרום,באר שבע,בית יתיר,31.35096,35.016967,02-9960148,16:00-19:00,7:00-11  16:00-19:00,16:00-19:00,16:00-19:00,7:00-12:00,סגור,סגור,,מכבי שרותי בריאות
כאבול א,כאבול,צפון,עכו,כאבול,32.867096,35.211864,04-9946660,8:00-18:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
כאבול ב,כאבול,צפון,עכו,כאבול,32.867096,35.211864,04-9940126,8:00-16:00,8:00-16:00,סגור,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
כאוכב,כאוכב אבו אל-היג'א,צפון,עכו,כאוכב,32.833021,35.247606,04-9998872,8:00-18:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
